"Data","Último","Abertura","Máximo","Mínimo","Vol.","% var."
"02.06.2024","284,20","284,20","284,20","284,20","","1,99%"
"26.05.2024","278,65","273,25","273,25","273,25","","1,98%"
"19.05.2024","273,25","271,25","271,25","271,25","","8,48%"
"12.05.2024","251,90","244,85","244,85","244,85","","2,03%"
"05.05.2024","246,90","241,40","241,40","241,40","","-0,80%"
"28.04.2024","248,90","295,45","295,45","295,45","0,00K","-11,46%"
"21.04.2024","281,10","273,50","280,50","273,50","0,01K","-3,05%"
"14.04.2024","289,95","276,50","290,25","274,25","0,05K","4,66%"
"07.04.2024","277,05","259,05","259,05","259,05","0,00K","5,02%"
"31.03.2024","263,80","243,00","254,10","243,00","0,02K","13,44%"
"24.03.2024","232,55","232,00","235,75","232,00","0,04K","2,31%"
"17.03.2024","227,30","217,75","217,75","217,75","","3,77%"
"10.03.2024","219,05","233,25","233,25","228,25","0,00K","-4,91%"
"03.03.2024","230,35","228,90","235,00","228,00","0,05K","-1,37%"
"25.02.2024","233,55","236,15","245,50","216,25","0,40K","1,24%"
"18.02.2024","230,70","234,00","237,05","230,50","1,68K","-1,24%"
"11.02.2024","233,60","237,05","237,90","230,00","1,31K","-1,70%"
"04.02.2024","237,65","235,20","238,30","231,00","2,52K","0,42%"
"28.01.2024","236,65","235,10","240,45","233,00","2,05K","0,08%"
"21.01.2024","236,45","229,20","239,45","228,75","4,01K","4,19%"
"14.01.2024","226,95","221,10","230,90","216,55","3,91K","2,21%"
"07.01.2024","222,05","224,15","230,00","220,60","2,97K","-1,18%"
"31.12.2023","224,70","242,00","242,00","223,00","2,42K","-7,01%"
"24.12.2023","241,65","236,50","244,80","234,55","0,91K","2,79%"
"17.12.2023","235,10","246,00","247,05","231,05","1,86K","-1,45%"
"10.12.2023","238,55","220,00","231,00","220,00","0,05K","10,18%"
"03.12.2023","216,50","225,90","237,00","219,00","0,13K","-5,06%"
"26.11.2023","228,05","205,30","239,00","205,30","0,47K","9,56%"
"19.11.2023","208,15","206,75","211,45","204,05","0,64K","2,56%"
